Q_NUMBER,QUESTION,OPTION1,OPTION2,OPTION3,OPTION4,ANSWER,IMAGE
534, What does this sign indicate?,Compulsory bus stop,Only buses permitted,Bus route ,,1,
535,What does this sign indicate?,Handcart prohibited,Bullock cart prohibited,Tongas prohibited ,,3,
536,While descending ‘Ghat’ of steep descent you scould keep your vehicles in,Top gear ,Neutral gear with engine off,Same gear used by you for ascending,,3,
537,"While descending, press",Clutch first then brake,Brake first then clutch,Clutch & brake simultaneously,,2,
538,What is ‘Engine Braking’,Switching off vehicle while vehicle in gear,Controlling the speed by changing the gears down one by one.,Engine brake down ,,2,
539,What does this sign indicate?,Speed breaker ,Dangerous dip ,Men at work ,,1,
540,What does this sign indicate?,Advance direction sign ,Destination sign ,Direction sign ,,3,
541,What does this sign indicate?,Advance direction sign ,Place identification sign ,Direction sign  ,,2,
542,What does this sign indicate?,Advance direction sign ,Destination sign ,Direction sign  ,,1,
543,What does this sign indicate?,Re-assurance sign ,Place identification sign ,Destination sign ,,1,
544,What does this sign indicate?,Re- assurance sign ,Place identification sign ,Destination sign  ,,3,
545,What does this sign indicate? ,Height of bridge  ,Height of road from sea level ,Flood gauge,,3,
546,While turning left you will keep your vehicle in,Left lane,Right lane ,Middle lane ,,1,
547,If people crossing your vehicle at uncontrolled intersection ,Approach intersection without reducing your speed ,Approach cautiously by reducing your speed ,Stop and allow people to cross ,,3,
548,While taking U- turn at controlled intersection ,Drive to other uncontrolled intersection,Wait till traffic light turns green,Turn if there is no policeman ,,2,
549,If you intend to change your lane  ,Change immediately ,Change by giving proper signal in advance ,Do not change  ,,2,
550,What precaution you will take while parking?,Will not cause any inconvince to others  ,Will cause danger to others ,Will cause inconvince to others ,,1,
551,How do you park a vehicle ? ,As per signal board or road markings ,As I like ,By asking policeman ,,1,
552,"While driving on multilane road, I will drive through lane & change it ",By giving proper signal,Drive at brisk speed ,Drive slowly ,,1,
553,"While following other vehicle, the driver should",Keep safe distance from vehicle ahead,Immediately overtake & proceed,Keep closer to the vehicle ahead ,,1,
554,If instructed by an officer in uniform,Overlook it ,Do not obey if in hurry ,Obey ,,3,
555,"When you are driving through silent zone, you should ",Not blow horn,Blow horn,Decide as the situation warrants ,,1,
556,Major reason of road accidents ,Bad roads,Driver’s fault,Mechanical defect in vehicle ,,2,
557,While riding a motor cycle hand signals should always be given by ,Only left hand ,Only right hand ,Any hand ,,2,
558,When should you carry your driving license with you?,Only while driving on National Highways ,Need not carry ,Always while driving ,,3,
559,Green light in traffic signal indicates?,Stop ,Proceed if safe ,Reduce speed & proceed cautiously ,,2,
560,Provision regarding leaving vehicle in dangerous position is in section,123 of M.V. Act ,122 of  M.V. Act,125 of M.V. Act,,2,
561,Provision regarding riding on running board etc is in section,122 of M.V. Act ,125 of M.V. Act.,123 of M.V. Act ,,3,
562,Provision regarding duty to produce driving license & certificate of registration is in section ,130 of M.V. Act,131 of M.V. Act ,134 of M.V. Act ,,1,
563,Provision regarding duty of the driver to take certain precautions at unguarded Railway level crossing is in section,130  of M.V. Act ,131of M.V. Act,134 of M.V. Act ,,2,
564,Provision regarding duty of driver in case of accident & injury to a person is in section,130 of M.V. Act,131 of M.V. Act,134 of M.V. Act ,,3,
565,When should a driver signal if he wish to take a turn?,While turning ,10 mts. before turning ,30 mts. before turning ,,3,
566,Before taking a right turn your vehicle should be in,Any lane  ,Center lane ,Extreme right lane  ,,3,
567,What is “MSM” in turning a vehicle ,Maneuver Signal Mirror ,Mirror Signal Maneuver ,Mirror Speed Maneuver ,,2,
568,What is “PSL” in turning a vehicle ,Position Signal Look ,Position Speed Look,Park Signal Look ,,2,
569,What is “Blind Spot” for vehicle drivers?,An invisible spot beyond head light,Objects which can not be seen in mirror ,Blinding of eyes because of headlights of upcoming vehicles,,2,
570,While riding motorcycle with learners license you should ride ,Only in day light ,Only on roads having less traffic ,Only with a license holder pillion with you ,,3,
571,If  you possess a learners license to drives motor cycle ,You can ride on low traffic road in daylight   ,Pillion rider is not allowed ,Can drive only with a license holder pillion with you ,,3,
572,Exhibition of “L” board for learners license holder while driving is,Necessary,Compulsory ,Optional ,,2,
573,"To drive a light motor vehicle (Car, Jeep etc.) your minimum age should be ",16 years ,18 years ,20 years ,,2,
574,The grace period to renew your expired driving license is ,30 days ,60 days,No grace period,,1,
575,When can a person drive with suspended driving license?,Only in emergency,Only when a license holder is with him ,Never,,3,
576,If you possess a license to drive a car you can drive?,Motor cycle & car ,Only car ,Other than heavy vehicles ,,2,
577,What is the validity of license to drive motor cycle & car?,5 years ,10 years ,20 years or till the age of 50 whichever is less ,,3,
578,You must intimate your changed address on driving license to R.T.O. in,10 days ,14 days , 30 days ,,2,
579,While entering a round about / island you should ,Enter at the same speed,Allow those entered before you to pass first ,Halt & proceed ,,2,
580,After hearing an ambulance siren you should ,Stop immediately,Move left & give way to ambulance  ,Maintain the same speed ,,2,
581,"If you see flashing yellow light at intersection, you should ",Reduce the speed & proceed cautiously ,Stop,Blow horn & proceed ,,1,
582,This is how the lights in an automatic signal will glow,"Red, Yellow, Green, Yellow, Red ","Green, Yellow, Red, Green ","Green, Yellow, Red, Yellow, Green",,2,
583,If you see yellow light after green you should ,Accelerate & cross before red ,Proceed only if “Stop line” is crossed else stop ,Proceed if there is no traffic police ,,2,
584,If you observe red light at intersection & traffic police on duty  signals you to cross then you should ,Wait till green signal ,Bring the red light to the notice of traffic police,Obey the traffic police & cross,,3,
585,Permission to drive at speeds exceeding the speed limit is ,Only during nights and less traffic ,Only on express ways,Never permitted ,,3,
586,Maximum speed limit specified in Motor Vehicles Act for articulated vehicles    ,50 Kmph,40 Kmph,30 Kmph   ,,1,
587,The minimum distance you should keep from vehicle ahead is,2 seconds distance ,Double the length of your vehicle,2 meters ,,1,
588,The minimum distance required for halting a vehicle moving at 80 kmph,40 Mts ,30 Mts ,57 mts ,,3,
589,Maximum permissible carbon monoxide level from the exhaust of car is,3%,4.5%,2%,,1,
590,You are required to settle the case regarding pollution violation of your vehicle with RTO in,3 days ,7 days ,13 days ,,2,
591,After parking your vehicle you should ,Stop engine & remove key ,"Stop engine, remove key & apply hand brake ","Stop engine, remove key, apply hand brake & put vehicle in gear",,3,
592,While applying breaks of two wheelers ,Apply only rear breaks ,Apply only front breaks ,Apply both breaks simultaneously ,,3,
593,At what speed your vehicle gives maximum mileage (fuel efficiency)?,Low speed (less than 30 kmph),Medium (40 to 60 kmph) , High speed (60 to 100 kmph),,2,
594,If instructed to stop by a policeman in uniform you should,Stop immediately ,Stop by taking care of vehicle following you ,Don’t stop if you are not at fault,,2,
595,Wearing a helmet on State & National highways is ,Mandatory ,Necessary ,Optional ,,1,
596,Park your vehicle at safe place before accepting a cell phone call while on drive because , It may create interference in communication ,You do not loose control on your vehicle ,This is mandatory only on highways ,,2,
597,Using cell phone while driving is ,Allowed on roads with less traffic ,Allowed if driven carefully ,An offence ,,3,
598,Check tyre pressure,While tyres are hot,While tyres are cold,Any time ,,2,
599,Permissible alcohol level in blood prescribed by M.V. Act is,50 mg. per 100 ml of blood ,30 mg. per 100 ml of blood ,No alcohol allowed ,,2,
600,What is the validity of registration of motor cycle & car?,10 years ,15 years ,20 years ,,2,
601,Changing the lanes on multilane road is,Prohibited ,Permitted ,Not advised to change ,,2,
602,While driving on well lit road in nights,Use only parking lights ,Use high beams ,Use low beams  ,,3,
603,What is “parallel” parking? ,Parking at right angles to road ,Parking parallel to already parked vehicle ,Parking behind the parked vehicle ,,2,
604,Minimum distance between parallel parked vehicles should be,2 feet ,3 feet ,5 feet ,,2,
605,Parking is prohibited on ,One ways ,Narrow side roads,Footpaths & traffic signals  ,,3,
606,If cattle herder signals to stop the vehicle ,Driver must stop,Driver can overlook,Blow the horn and proceed,,1,
607,While entering an uncontrolled intersection,Reduce speed & proceed cautiously ,Stop,Proceed in the same speed if road is clear ,,1,
608,Road signs in ‘circles’ are ,Mandatory ,Cautionary ,Informative ,,1,
609,Road signs in ‘triangles’ are ,Mandatory ,Cautionary ,Informative  ,,2,
610,Road signs in ‘squares or rectangles’ are ,Mandatory ,Cautionary ,Informative ,,3,
611,The meaning of road signs in red circle is,Compulsion to do ,Prohibition to do ,Caution  ,,2,
612,The meaning of road signs in blue circle is,Compulsion to do ,Prohibition to do ,Informative ,,1,
613,The compensation under solatium scheme. in Hit & Run cases arising out of deaths is,Rs 10000,"Rs 25, 000",Rs 50000,,2,
614,The compensation under solatium skim in Hit & Run cases arising out of injuries is?,Rs 12500,Rs 25000,Rs 50000,,1,
615,Taking a reveres on ONE WAY is,Allowed,Prohibited ,Allowed only in nights,,2,
616,Plain mirror in a car shows,Real image ,Virtual image ,Wide rear view ,,1,
617,The road shoulder on express ways is used for,Stopping in emergency ,Resting when tired ,Parking ,,1,
618,At unguarded level crossings,Cross at brisk speed ,"Stop, cross without changing a gear only if train is not crossing","Stop, cross only if train is not crossing  ",,2,
619,What is “Clutch Riding”?,Frequent usage of clutch ,Riding with half pressed clutch ,Non usage of clutch ,,2,
620,Continuous  single  yellow strip at the side of roads indicates,Parking prohibited  ,Parking permitted ,Over taking  prohibited ,,1,
621,Continuous double yellow strip at the side of roads indicates,Parking permitted ,Parking & stopping prohibited,Over taking prohibited ,,2,
622,What does this sign indicate? ,Steep ascent left side ,Steep turn left side ,Steep turn right side  ,,2,
623,If driving at 45 kmph the safe distance from the car ahead is,One car length ,Two car length ,Three car length ,,3,
624,Average annual causalities in road accidents in India,"30,000","50,000","1,35,000",,3,
625,Two contineous  yellow strips at the center of the roads indicates   ,Avoid overtaking ,Overtaking prohibited ,Center of the road ,,2,
626,Continuous single yellow strip at the center of the roads indicates?  ,Avoid overtaking ,Overtaking prohibited ,Center of the road ,,2,
627,What does this sign indicate? ,Stop ,Give way ,Park vehicles ,,2,
628, What does this sign indicate? ,Stop ,Give way ,Park vehicles,,1,
629,At a collision  you suspect a casualty has back injuries. The area is safe. You should,Offer them a drink,Raise the legs.,Not move them,,3,
630,You have just arrived at the scene of accident. What should you do?,Switch – off engine & call emergency services,Remove casualty away from the vehicle.,Wait for another motorist to arrive,,1,
631,Your vehicle has broken down on a two way road. Where will you display the warning triangle?,On the roof of your vehicle,Just behind your vehicle,50 M behind your vehicle,,3,
632,After a collision driver is suffering from shock. What should you do?,Offer them a drink,Re-assure them without leaving them alone,Ask them who has caused the accident,,2,
633,Your vehicle has broken down on an unguarded railway crossing. What should you do first?,Get everyone out of the vehicle & clear of the crossing,Try to push the vehicle clear of  the crossing as soon as possible,Walk along the track to give warning to any approaching trains,,1,
634,An accident victim is unconscious. Your main priority is ,Take the names of victims & check airway is clear,"Make sure they are breathing, clear the airway & stop heavy bleeding",Note down number of vehicles involved in accident & sweep up the broken glasses,,2,
635,Which of the following should you not do at the scene of a collision?,Warn other traffic by switching on your hazard warning lights,Call the emergency services immediately,Give water to all unconscious victims,,3,
636,At an accident spot a casualty has stopped breathing. You should,Keep the head tilted forward as far as possible,Try to give the casualties water to drink,Tilt the head back gently  to clear the airway,,3,
637,Your vehicle breakes down in a tunnel. What should you have to do?,Stay  in the  vehicle & wait for the police,Stand in the lane behind your vehicle to warn others,Switch on hazard lights then move & call for help immediately,,3,
638,You have stalled in the middle of a level crossing & can't restart the engine. The train arrival bell starts ringing. You should,Push the vehicle clear of the crossing,Run down the track to warn the signal operator,Get out & clear of the crossing,,3,
639,You are in a tunnel Your vehicle is on fire & you can not drive it. What should you have to do,Try & put out the fire & switch on hazared warning lights,Switch off all your lights & leave the engine running,Stay in the vehicle & wait for other  people to phone for help,,1,
640,"An adult casualty is not breathing.  To maintain circulation,compressions   should be given. What is the correct depth to press",10 - 15 cms.,4 -  5 cms. ,1 - 2 cms. ,,2,
641,Before driving through a tunnel what should you do,Switch on windscreen wipers,Switch your radio off,Remove your sun glasses,,3,
642,You injured motor cyclist. He is lying unconscious in the road. You should always,Seeks medical assistance,Move the person off the road,Remove his helmet,,1,
643,A collision has just happened.  An injured person is lying in a busy road. What is the first you should do to help,Treat the person for shock,Warn the traffic,Place them in the recovery position,,2,
644,You arrive at an accident spot. The  motor cyclist is unconscious. Your first priority is the casualties,Bleeding,Breathing,Broken bone,,2,
645,Collisions has resulted in burning of a driver. What is the shortest time the burn should be cooled for,5  Min.,10 Min.,15 Min.,,2,
646,At an incident a casualty is unconscious.What should we do urgently,"Airway, breathing, circulation","Airway, shock, broken bones","Circulation, shock, broken bones",,1,
647,You are driving at night on an unlit road behind another vehicle. You should,Use high beam headlights,Use low beam headlights,Flash your headlights,,2,
648,Two second rule indicates?,M.S.M.,P.S.L.,Safe gap from the vehicle in front,,3,
649,You are driving in traffic at the speed limit for the road. A driver behind is trying to overtake. You should,Accelerate to get away from the driver behind,Wave the driver behind to overtake when it is safe,Keep a steady course & allow the driver behind to overtake,,3,
650,"To avoide spillag after refuelling, you should make sure that",Your tank is only 3/4th full,You have used a locking filler cap,Your filler cap is securely fantened ,,3,
651,You are following a long truck. You should stay well back from it to,Give you a good view of the road ahead,Prevent traffic behind you from overtaking,Allow you to hurry through the traffic lights if they change,,1,
652,You should never wave people across at pedestrian crossings because,They may not be ready to cross,It is safer for you to carry on,There may be another vehicle coming ,,3,
653,Be extra cautious while overtaking,‘L’ mark vehicles,Slow speed vehicles,Light vehicles,,1,
654,Be careful while overtaking ‘L’ mark (learner driver) vehicle because,Their intention is always to drive in right hand lane,This will reduce their confidence,They may get nervous and it may lead to an accident,,3,
655,"While driving, avoid",Reacting to wrong behavior of other drivers,Getting distracted by phone calls,All of the above,,3,
656,To help concentration on long journeys you should stop frequently and,Have a rest,Fill up with fuel,Eat a meal,,1,
657,What is meant by ‘defensive driving’?,Being alert and thinking ahead,Always driving  slowly and gently,Always letting others go first,,1,
658,"You can park a vehicle in such a way that it obstructs other vehicle if,only",Someone is there in the car to move it whenever required,Not longer than 10 minutes,To pick up & drop passengers,,3,
659,We are meeting at 4 p.m. once a week;it is a 20-minute drive from our house/office. We should,Leave at 2 p.m. because sometimes we forget how to get there,Leave 25 or 30 minutes early to allow for possible delays,Leave exactly 20 minutes to four and try to make it on time,,2,
660,Which of these can reduce your visibility in night?,Tinted goggles,Sun control films on windshield,Both,,3,
661,You are following a two-wheeler on a poor road surface. You should,Make sure you stay well back ,Look out as they may wobble,Both,,3,
662,What is the best way to prevent fatigue when driving?,Avoid night driving,Stop for rest,Don’t carry on load,,2,
663,Your  overall stopping distance will be much longer when driving ,In rain,In fog,At night,,1,
664,You should never attempt to overtake a cyclist,On a narrow road  which is not wide enough,Just before you turn left,Both,,3,
665,"When you approach a bus signaling to move off from a bus stop,you should",Get past quickly before it moves off ,Allow it to pull away,Signal left and wave the bus to move on,,2,
666,You have just been overtaken by motorcyclist who is cutting in sharply.You should,Sound the horn&increase your speed,Slow down to create a safe gap for motorcyclist in front,Start flashing your lights vigorously,,2,
667,You are driving at high speed on an expressway. When passing large heavy vehicle you should,Increase your speed,Beware of sudden gust & keep firm control on steering,Start driving closely to this vehicle,,2,
668,"You are driving on two lane road, the vehicle in front of you is moving very slowly, and the road ahead is clear for overtaking, you should",Pass the vehicle from left hand side,Pass the vehicle from right hand side,Pass the vehicle from convenient side,,2,
669,"To drive safely, you need to concentrate and be able to monitor everything that is happening on the road. To do this, you need to",Turn all your attention only to road ahead,"Continuously scan the road, looking ahead, to the sides, checking rear view mirrors and anticipate what may happen",Ask other occupants in the vehicle to watch out for possible dangers,,2,
670,"As you approach an intersection, you should check for traffic on your left and right",At all the times before entering an intersection,Only when the traffic is heavy,Only when you approach a stop sign,,1,
671,"To control the speed of a vehicle some drivers apply clutch, this will result in",Reduced control as engine braking is eliminated,Vehicle speed will increase very quickly on downhill ,Both,,3,
672,At road junctions which of the following are most vulnerable?,Motorcyclists,Pedestrians,Both,,3,
673,In what situation are other drivers allowed to flash their headlights at you?,To warn you of their presence,To warn you danger is ahead,To tell you they are giving way to you,,1,
674,It is important to scan while driving so that you can see everything that is happening around. What does scanning involve?,Continually looking ahead and to the sides,Looking into rear view mirrors while driving,Both,,3,
675,Which of these statement is true?,Vehicular traffic has right over and above pedestrians on the road ,Pedestrians have special rights on zebra crossing only,Pedestrains being vulnerable must get right of way on any part of the road,,3,
676,"When you have started to overtake the car ahead, you notice that its right indicator has started flashing. You should",Accelerate quickly to get past,Flash your headlights and try to accelerate past,"Abort overtaking, look into mirrors, come to left lane if safe",,3,
677,You are driving in torrential rain and your vehicle begin to slide. What is this called?,Ghosting,Coasting,Aquaplaning,,3,
678,When may you sound the horn on your vehicle?,To warn other drivers of your presence,To give you right of way,To warn others on a blind turn that you are coming,,1,
679,The raod used to join and exit expressway is called-,Side lane,Slip road,Adjoining lane,,2,
680,When applying brakes to stop,Press brake pedal very hard to stop quickly,Check your rear view mirror before applying brakes,Apply brakes then check in mirror,,2,
681,Which of the following distract the driver,Listening to music,Using hands free mobile,Both,,3,
682,When driving you start feeling sleepy ,Find a safe place to stop and refresh,Drink tea or water while driving,Try to stay alert by looking around repeatedly or talking to a co-passenger,,1,
683,How many types of Road Signs are there,3,2,4,,1,
684,When turning your vehicle on the road you should,Check all around for other road users,Continuously use horn for warning other road users,Switch on your headlights,,1,
685,Your mobile phone rings while you are travelling. You should,Answer it immediately,Pull up at suitable safe place,Pull up at the nearest kerb,,2,
686,You are most likely to loose concentration while driving if you,Switch on the AC,Use a mobile phone,Look at the rear view mirror,,2,
687,Which of following should you do before stopping?,Sound the horn,Use the mirrors,Flash your headlights,,2,
688,When you are moving off from behind a parked car you should,Use all the mirrors on the vehicle,Give a signal,Both,,3,
689,"While overtaking two wheelers, you should",Squeeze them on road to get more space,Cross them very closely,Leave as much room as you would for a car,,3,
690,In which of these places you not park or wait?,At a bus stop,In such a way that another parked car gets obstructed,Both,,3,
691,What is the right hand lane used for on a three lane express way?,Emergency vehicles only,Overtaking ,Heavy vehicles only,,2,
692,At a crossroad there are no signs or road markings. Two vehicles approach. Which has priority?,The vehicle travelling fast,The vehicle on a widest road,Vehicle approaching from the right side,,3,
693,On which of these occasions must you stop your vehicle?,When involved  in an accident,When signaled to do so by a police officer,Both,,3,
694,When you are sure that it is not safe to reverse your vehicle you should,Use your horn,Get out and check,Reverse slowly,,2,
695,When may you reverse from a side road into a main road?,Only if both roads are clear of traffic,Not at any time,Only if the main road is clear of traffic,,2,
696,You are signaling to turn right in busy traffic. How would you confirm you intention safely?,Sound the horn,Give an arm signal,Flash your headlights,,2,
697,"When traffic lights are out of order, what precaution should you take?",Slow down and move,"Stop, look right and left and proceed cautiously",Move at the same speed,,2,
698, Why should you make sure that you have cancelled your indicators after turning?,To avoid flattening of battery,To avoid misleading other road users,To avoid dazzling other road users,,2,
699,You are reversing. While reversing you should mainly look,In the rear view mirror,Through the rear windscreen,In the right side view mirror,,2,
700, How much distance should you keep from a vehicle travelling in front of you?,15 meters,Depends on the speed of the vehicle travelling in front of you,A distance sufficient to avoid collision if the vehicle in front of you suddenly slows down or stops,,3,
701,What is the correct procedure if you want to stop on the left side of the road?,Apply brakes gradually after giving a signal for stopping,"Check rear view mirror & look over shoulder and if it is safe to do so, give appropriate signal, slow down and stop on the left side of the road","Check rear view mirror, slow down and stop on the left side of the road.",,2,
702,Which is the best reason for not following other vehicles too closely?,To avoid exhaust fumes,To avoid getting dirt from wheel spray,"To get increased angle of vision of traffic conditions ahead and to avoid hitting vehicle in front, if it stopped suddenly",,3,
703,"When approaching from the rear where two lanes of traffic have stopped at a signal, you should",Pass all the vehicles and stand in front of them,Pass between all the vehicles standing in the two lanes,Stop behind the last vehicle in appropriate lane,,3,
704, A pedestrian is crossing the street at an intersection you should,Yield to pedestrian the right of way,Proceed with care ,Reduce speed and warn pedestrian,,1,
705,"A bus at the bus stop signals the intent of moving off, you will ",Slow down and give way,Speed past it,Flash lights and go past the bus,,1,
706,What does the temperature gauge indicate?,Outside temperature,Engine temperature,Both,,2,
707,What does an odometer show?,Speed of the vehicle,Total distance covered by the vehicle,Both,,2,
708,"If you meet with an accident while driving a vehicle, without a valid driving license, the insurance company will ",Compensate partly for damages,Compensate fully for damages,Not compensate for damages,,3,
709,PUCC stands for ,Primary unlicensed car & carrier,Pollution under control certificate,Pollution uncontrolled cancellation certificate,,2,
710,Which of the following steps one should not take after an accident?,Protect the area,Care for the injured,Give water to unconcious victims,,3,
711,You arrive at the scene of an accident. What is the first thing you should do?,Call the police,Warn other traffic,Call the ambulance,,2,
712,Which age group of drivers is most likely to be involved in a road accident?,36 to 45 year old,46 to 55 year old,18 to 25 year old,,3,
713,In the event of an accident what phone number  will you dial to get assistance from the police?,102,101,100,,3,
714,What phone number will you dial in case of a medical emergency to get assistance by the ambulance?,100,102,101,,2,
715,An older person’s driving ability could be affected because they may be unable to ,Understand road signs,React very quickly,Give signals correctly,,2,
716,You are taking drugs that are likely to affect your driving. What should you do?,Seek medical advice before driving,Limit your driving to essential journeys,Drive only for short distances,,1,
717,While driving you approach a large puddle that is close to left hand kerb. Pedestrians are close to the water. You should,Brake suddenly and sound your horn,Slow down before the puddle and try to avoid splashing the pedestrians,Wave at the pedestrians to keep back,,2,
718,What action would you take when elderly people are crossing the road?,Wave them across so they know you have seen them,Be patient and give the sufficient time to cross,Tap the horn in case they are hard of hearing,,2,
719,You have been involved in an argument before starting your journey. This has made you feel angry. You should,"Start to drive, but open a window",Drive slower than normal and turn your radio on,Calm down before you start to drive,,3,
720,A driver’s behavior has upset you. It may help if you,Stop and take a break,Gesture to them with your hand,"Follow their car, flashing the headlights",,1,
721,What should you use your horn for?,To alert others of your presence,To allow you right of way,To signal your annoyance,,1,
722,Before driving a new vehicle the driver should,Be familiar with the position of controls,Always use choke before starting,Check its number plates,,1,
723,The first thing that alcohol affects is,Vision,Balance,Judgment,,3,
724,You are invited to a dinner party. You know you will have to drive in the night. What is your best course of action?,Have only two pegs of alcohol, Not drink any alcohol at all ,Eat a hot meal with your alcoholic drinks,,2,
725,What advise should you give to a driver who has had a few alcoholic drinks at a party?,Drive home carefully and slowly,Go home by public transport,Wait for a short while then go home,,2,
726,"What else can affect your concentration, other than alcoholic drinks?",Drugs,Tiredness,Both,,3,
727,"When driving near children playing or walking near the edge of the road, you should",Wait for them to finish their game,Sound your horn to warn them of your presence,"Slow down, and be ready to make a safe stop",,3,
728,Which of the following attitudes are most likely to make you a safe driver?,"When I drive, I am responsible for may safety as well as safety of others",Crashing or not crashing is a matter of luck,Other road users must ensure their safety,,1,
729,A vehicle ahead of you has stopped at a pedestrian crossing. You,Must not overtake the vehicle,May overtake the vehicle if there are no pedestrians on the crossing,May overtake the vehicle if there are no other vehicles coming the other way,,1,
730,"Your vehicle has broken down on a highway, what is the first thing you should do?",Warn other traffic,Stop the following traffic and ask for help,Call for a towing vehicle,,1,
731,Which of the following may help to deter a thief from stealing your car?,Always keep the headlights on,Always keeping the interior light on,Etching the registration number on the windows,,3,
732,Which of the following should not be kept in your vehicle?,A first aid kit,Inflammable material,Tool kit,,2,
733,Maximum permissible carbon monoxide level from the exhaust of motor cycle is,3%,4.5%,2%,,2,
734,The major constituent from the exhaust of a petrol driven vehicle is,Carbon di-oxide ,Carbon monoxide , Sulphur dioxide ,,2,
735,The major constituent from the exhaust of diesel driven vehicle is,Carbon di-oxide ,Carbon monoxide ,Sulphur dioxide ,,1,
